Host Id;Host Since;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating
22954228;2014-10-25T00:00:00Z;Private Spacious Rm, Prospect Park;Brooklyn;Apartment;100;Private room;11226;1;1;4;59;100
22959180;2014-10-25T00:00:00Z;Loft Bedroom in Popular Bushwick;Brooklyn;Apartment;95;Private room;11237;1;1;33;65;95
22960668;2014-10-25T00:00:00Z;Comfy Room in Bushwick Creative Apt;Brooklyn;Apartment;90;Private room;11237;1;1;13;59;91
22960668;2014-10-25T00:00:00Z;Fun Room in Bushwick Creative Apt;Brooklyn;Apartment;90;Private room;11237;2;1;13;59;92
23046908;2014-10-27T00:00:00Z;One bedroom in 2 bedroom apartment;Brooklyn;Apartment;100;Private room;11205;1;1;2;70;100
23040544;2014-10-27T00:00:00Z;Hip & Cozy Room!;Brooklyn;Apartment;100;Private room;11206;1;1;2;55;100
23088606;2014-10-28T00:00:00Z;Sunny Studio on Prospect Park;Brooklyn;Apartment;95;Entire home/apt;11238;1;1;34;100;98
23157944;2014-10-30T00:00:00Z;Sun-lit, Private Room;Brooklyn;Apartment;90;Private room;11213;1;1;6;60;93
23162890;2014-10-30T00:00:00Z;Flatbush Gardens;Brooklyn;Apartment;100;Private room;11226;2;1;5;86;100
23162890;2014-10-30T00:00:00Z;Flatbush Gardens II;Brooklyn;Apartment;90;Private room;11226;2;1;5;95;92
23199907;2014-11-01T00:00:00Z;Big Sunny Loft Style Garden Apt;Brooklyn;Apartment;95;Entire home/apt;11237;1;1;24;90;98
23270872;2014-11-02T00:00:00Z;Private room in a huge apartment!;Brooklyn;Apartment;100;Private room;11206;1;1;1;59;100
23269902;2014-11-02T00:00:00Z;Room in spacious Brooklyn apartment;Brooklyn;Apartment;100;Private room;11216;1;1;2;60;100
23265622;2014-11-02T00:00:00Z;Cheap Budget Private Room W1;Brooklyn;Apartment;90;Private room;11221;2;1;38;79;93
23265622;2014-11-02T00:00:00Z;Cheap Budget Private Room W2;Brooklyn;Apartment;90;Private room;11221;2;1;48;79;90
23265622;2014-11-02T00:00:00Z;Cheap Budget Private Room W3;Brooklyn;Apartment;95;Private room;11221;1;1;63;49;95
23265622;2014-11-02T00:00:00Z;Cheap Budget Private Room W4;Brooklyn;Apartment;90;Private room;11221;1;1;54;49;90
23261382;2014-11-02T00:00:00Z;Large, sunlight room in Bushwick;Brooklyn;Apartment;100;Private room;11237;1;1;1;50;100
23297030;2014-11-03T00:00:00Z;Private room with private entrance;Brooklyn;Apartment;90;Private room;11216;1;1;2;50;90
23297442;2014-11-03T00:00:00Z;Private Room in Luxury Apartment;Brooklyn;Apartment;100;Private room;11237;1;1;1;50;100
23304186;2014-11-03T00:00:00Z;PRIVATE SUITE in Williamsburg BK;Brooklyn;Apartment;95;Private room;11249;1;1;21;83;95
23347664;2014-11-04T00:00:00Z;Sunny & Spacious Apartment :);Brooklyn;Apartment;100;Private room;11205;1;1;1;85;100
23339700;2014-11-04T00:00:00Z;Beautiful & Sunny Room in Bushwick!;Brooklyn;Apartment;100;Private room;11221;1;1;1;60;100
23391314;2014-11-05T00:00:00Z;Artsy Bushwick apt close to city!;Brooklyn;Apartment;100;Private room;11206;1;1;1;66;100
23420949;2014-11-06T00:00:00Z;Sunny Bed-Stuy Cove;Brooklyn;Apartment;100;Entire home/apt;11206;2;1;2;70;100
23418347;2014-11-06T00:00:00Z;1bdrm Brooklyn Artist Apartment;Brooklyn;Apartment;95;Entire home/apt;11213;1;1;5;90;95
23462354;2014-11-07T00:00:00Z;Mi casa es su casa!;Brooklyn;Apartment;90;Private room;11221;1;1;2;80;90
23486811;2014-11-08T00:00:00Z;Lovely Cozy Apt in Bensonhurst Area;Brooklyn;Apartment;100;Entire home/apt;11204;1;1;3;80;100
23494096;2014-11-08T00:00:00Z;Bargain Private Room A1;Brooklyn;Apartment;90;Private room;11221;2;1;66;79;93
23494096;2014-11-08T00:00:00Z;Bargain Private Room A2;Brooklyn;Apartment;90;Private room;11221;2;1;45;79;90
23534059;2014-11-09T00:00:00Z;Steps to Subway! Super Convienient!;Brooklyn;Apartment;95;Private room;11226;1;1;30;66;97
23570473;2014-11-10T00:00:00Z;HOME AWAY FROM HOME;Brooklyn;Apartment;100;Private room;11216;1;1;3;89;100
23568514;2014-11-10T00:00:00Z;Spacious & Cozy Private Room!;Brooklyn;Apartment;90;Private room;11220;1;1;22;60;94
23582893;2014-11-10T00:00:00Z;Beautiful Sunny Room With Fireplace;Brooklyn;Apartment;90;Private room;11221;1;1;3;70;93
23582893;2014-11-10T00:00:00Z;Lovely Room With Balcony;Brooklyn;Apartment;100;Private room;11221;1;1;1;57;100
23582893;2014-11-10T00:00:00Z;Tin Ceilings and Decorative Firepla;Brooklyn;Apartment;100;Private room;11221;1;1;1;59;100
23616863;2014-11-11T00:00:00Z;Sunny, Spacious Brooklyn 1 BDRM;Brooklyn;Apartment;90;Entire home/apt;11218;1;1;2;100;90
23624738;2014-11-11T00:00:00Z;Lovely Room 1 Block (!) From Train;Brooklyn;Apartment;90;Private room;11216;1;1;3;69;93
23625773;2014-11-11T00:00:00Z;Large private BR with a half bath;Brooklyn;Apartment;90;Private room;11231;1;1;3;85;93
23595418;2014-11-11T00:00:00Z;Private Room by the Beach;Brooklyn;Apartment;90;Private room;11235;2;1;18;60;93
23678255;2014-11-12T00:00:00Z;Sweet Deal Room;Brooklyn;Apartment;90;Shared room;11229;1;1;3;31;93
23675675;2014-11-12T00:00:00Z;Lovely living room space.;Brooklyn;Apartment;100;Shared room;11234;1;1;3;40;100
